date,actual,persistence,climatology,moving_avg,ensemble_v9,ensemble_v10,ensemble_v11
2025-09-24,88.0,90.0,90.96666666666667,88.71428571428571,90.76666666666667,89.66666666666666,88.41343861814556
2025-09-25,92.0,88.0,90.8,88.14285714285714,90.725,89.72,88.17105503816906
2025-09-26,90.0,88.0,90.63333333333334,88.57142857142857,90.68333333333334,89.17333333333335,88.28767638313317
2025-09-27,91.0,92.0,90.56666666666666,89.28571428571429,90.59166666666667,89.50666666666666,88.55089080992995
2025-09-28,88.0,90.0,90.4,89.0,90.92500000000001,89.92,88.41596530381781
2025-09-29,90.0,91.0,90.36666666666666,89.28571428571429,91.26666666666667,90.02666666666667,88.50196600043655
2025-09-30,91.0,88.0,90.2,89.57142857142857,90.25,89.96000000000001,88.54974216501414
2025-10-01,92.0,90.0,90.1,89.57142857142857,90.14999999999999,90.16,88.53062307887316
2025-10-02,89.0,91.0,90.0,90.0,89.825,90.0,88.66066170978488
2025-10-03,88.0,92.0,89.96666666666667,90.57142857142857,90.19166666666666,90.22666666666667,88.87310949175485
2025-10-04,88.0,89.0,89.8,90.14285714285714,90.075,89.92,88.6507152244767
2025-10-05,88.0,88.0,89.73333333333333,89.85714285714286,89.63333333333334,89.89333333333335,88.50331662125892
2025-10-06,89.0,88.0,89.73333333333333,89.42857142857143,89.15833333333333,89.65333333333334,88.34482924683485
2025-10-07,89.0,88.0,89.63333333333334,89.42857142857143,88.88333333333334,89.25333333333333,88.3185345287298
2025-10-08,89.0,89.0,89.73333333333333,89.28571428571429,89.23333333333333,88.93333333333334,88.31738214130253
2025-10-09,89.0,89.0,89.66666666666667,89.0,89.49166666666667,88.90666666666667,88.21780170076931
2025-10-10,80.0,89.0,89.56666666666666,88.57142857142857,89.79166666666666,88.98666666666666,88.07529457248104
2025-10-11,86.0,89.0,89.56666666666666,88.57142857142857,89.79166666666666,89.10666666666665,88.07990567231874
2025-10-12,88.0,80.0,89.16666666666667,87.42857142857143,88.41666666666667,87.98666666666668,87.33388667812574
2025-10-13,88.0,86.0,88.9,87.14285714285714,87.775,87.52,87.19216395323754
2025-10-14,86.0,88.0,88.83333333333333,87.14285714285714,87.53333333333333,87.37333333333333,87.19911761118537
2025-10-15,86.0,88.0,88.73333333333333,87.0,88.90833333333333,87.21333333333334,87.13156049326533
2025-10-16,86.0,86.0,88.56666666666666,86.57142857142857,88.96666666666667,86.78666666666666,86.9334791571841
2025-10-17,85.0,86.0,88.46666666666667,86.14285714285714,88.74166666666667,87.46666666666667,86.76411480181363
2025-10-18,85.0,86.0,88.26666666666667,85.71428571428571,88.41666666666667,87.38666666666666,86.53352538494687
2025-10-19,86.0,85.0,88.26666666666667,86.42857142857143,87.86666666666667,87.02666666666667,86.7890840701657
2025-10-20,88.0,85.0,88.2,86.28571428571429,87.7,86.63999999999999,86.71458328033489
2025-10-21,87.0,86.0,88.0,86.0,87.65,86.56,86.5582150006604
2025-10-22,88.0,88.0,87.96666666666667,86.0,88.14166666666667,86.78666666666666,86.57166409777467
2025-10-23,88.0,87.0,88.0,86.14285714285714,88.45,86.92,86.63709509209417
2025-10-24,87.0,88.0,87.93333333333334,86.42857142857143,88.58333333333334,87.25333333333333,86.73705234594914
2025-10-25,85.0,88.0,87.93333333333334,86.71428571428571,88.43333333333334,87.61333333333334,86.84336344364601
2025-10-26,87.0,87.0,87.9,87.0,88.25,87.72,86.9290854677352
2025-10-27,87.0,85.0,87.66666666666667,87.0,87.49166666666667,87.26666666666667,86.82713784135169
2025-10-28,89.0,87.0,87.56666666666666,87.14285714285714,87.14166666666667,87.22666666666666,86.8718964701159
2025-10-29,87.0,87.0,87.43333333333334,87.0,87.08333333333334,87.05333333333334,86.78201552179534
2025-10-30,79.0,89.0,87.46666666666667,87.28571428571429,87.66666666666667,87.18666666666667,86.91883858757177
2025-10-31,76.0,87.0,87.36666666666666,87.14285714285714,87.64166666666667,87.14666666666666,86.82189520708789
2025-11-01,82.0,79.0,86.96666666666667,85.85714285714286,86.51666666666667,86.26666666666667,86.13555576325925
2025-11-02,84.0,76.0,86.43333333333334,84.28571428571429,84.53333333333333,84.73333333333333,85.4501628897792
2025-11-03,87.0,82.0,86.2,83.85714285714286,83.65,84.03999999999999,85.25810948869027
2025-11-04,81.0,84.0,86.06666666666666,83.42857142857143,84.61666666666666,83.38666666666666,85.07921910114383
2025-11-05,83.0,87.0,86.03333333333333,83.42857142857143,86.50833333333333,83.37333333333333,85.11687216543747
2025-11-06,84.0,81.0,85.8,82.28571428571429,86.7,83.52,84.4969832679511
2025-11-07,87.0,83.0,85.6,81.71428571428571,86.625,84.28,84.136583581872
2025-11-08,87.0,84.0,85.43333333333334,82.42857142857143,85.55833333333334,84.45333333333333,84.45311392394973
2025-11-09,87.0,87.0,85.36666666666666,84.0,85.71666666666667,84.78666666666666,85.04439208540389
2025-11-10,85.0,87.0,85.3,84.71428571428571,85.975,84.75999999999999,85.2958298568659
2025-11-11,68.0,87.0,85.53333333333333,85.14285714285714,86.50833333333333,85.57333333333332,85.53862268552855
2025-11-12,76.0,85.0,85.5,84.85714285714286,86.275,85.80000000000001,85.38324824156571
2025-11-13,78.0,68.0,84.83333333333333,83.0,83.25833333333333,83.61333333333333,84.1787172990995
