date,actual_temp,forecast_ensemble,wind_speed,wind_dir,wind_north_component,wind_east_component,wind_advection_warm,wind_advection_cold,wind_advection_neutral,temp_850mb,temp_850mb_change_24hr,airmass_warming,airmass_cooling,airmass_stable
2025-01-28,42.0,29.98690917968754,23.929900391001173,293.6946922970336,0.4018629507941966,-0.9156998246035548,0,1,0,5.498054199218792,-12.852795410156247,0,1,0
2025-01-29,52.0,44.611359863281294,20.26086350533701,249.2743918765155,-0.3538929014934737,-0.9352859532103166,0,0,1,22.38887451171879,5.830114746093749,1,0,0
2025-01-30,38.0,32.303376464843794,13.346379481044664,270.20355766373257,0.0035527439759754026,-0.9999936889852061,0,0,1,8.99313476562504,-16.751019287109376,0,1,0
2025-01-31,48.0,43.62401855468754,7.128876669916518,198.04093790531158,-0.9508354805264619,-0.3096964464956165,1,0,0,37.74660766601566,25.958441162109374,1,0,0
2025-02-01,48.0,33.95011718750004,13.691718220571804,329.57240287421735,0.8622698325847737,-0.5064491443513616,0,1,0,16.841273193359417,-23.184118652343752,0,1,0
2025-02-02,31.0,28.75380371093754,4.598454207172269,95.63357769362236,-0.09816612733678803,0.9951700414721584,0,0,1,20.59129150390629,6.29901123046875,1,0,0
2025-02-03,49.0,47.53306396484379,7.014065743831306,223.5248782673965,-0.7250754137998459,-0.6886694739154497,1,0,0,36.70318115234379,19.327478027343748,1,0,0
2025-02-04,47.0,42.45012939453129,15.992652575647147,302.3530171962956,0.5351342621128826,-0.8447670220320515,0,1,0,19.70656250000004,-17.953417968750003,0,1,0
2025-02-05,36.0,31.925666503906292,6.6123195917365445,311.5680958704406,0.6635097117591783,-0.7481676699786299,0,1,0,13.156898193359417,-5.164233398437499,0,1,0
2025-02-06,38.0,35.47963378906254,2.172495699581494,14.681044150513381,0.9673516536198765,0.2534379179185513,0,1,0,37.93694580078129,25.741021728515623,1,0,0
2025-02-07,43.0,34.20412109375004,18.654624628726385,290.37385469938226,0.3481443090471155,-0.9374409528488216,0,0,1,12.23520019531254,-26.980279541015623,0,1,0
2025-02-08,35.0,33.35910766601567,2.5146935226280127,213.75828295005874,-0.8313892877423846,-0.5556904284106488,1,0,0,19.046119384765667,6.290881347656253,1,0,0
2025-02-09,36.0,33.01045654296879,10.682254053764954,321.78712742135303,0.7857179362211274,-0.6185849373371554,0,1,0,17.438380126953167,-5.193841552734373,0,1,0
2025-02-10,37.0,31.15178955078129,11.10898024823218,298.1187503869574,0.4713005372918585,-0.881972677325327,0,1,0,9.351673583984415,-9.462799072265625,0,1,0
2025-02-11,35.0,33.43859375000004,7.671118260515296,225.8888692631574,-0.6960522924235195,-0.7179910906215782,1,0,0,19.30819824218754,8.36619873046875,1,0,0
2025-02-12,36.0,31.28922851562504,10.937318063337479,45.31316854855178,0.7032313179709554,0.710961119488846,0,1,0,23.323426513671915,4.172552490234374,0,0,1
2025-02-13,46.0,46.49254882812504,11.377514524892062,216.87820013695966,-0.7999130481175759,-0.600115918345155,1,0,0,47.62414062500004,27.393310546874996,1,0,0
2025-02-14,36.0,32.91828125000004,14.804916081554794,284.1641190334173,0.2447002313855746,-0.9695987813316631,0,0,1,7.575953369140667,-36.58656005859375,0,1,0
2025-02-15,35.0,36.433137207031294,7.883799686782008,137.23333485907105,-0.7341250413194346,0.6790143030214743,1,0,0,18.059272460937542,8.682055664062503,1,0,0
2025-02-16,47.0,42.85651367187504,4.689401918126908,52.77955671087905,0.6048832804005837,0.7963141447267083,0,1,0,46.71128662109379,26.987640380859375,1,0,0
2025-02-17,36.0,28.872510986328166,21.604706659017797,268.9321424670157,-0.018636550913143677,-0.9998263244034244,0,0,1,4.995429687500042,-43.73931884765625,0,1,0
2025-02-18,27.0,22.62672851562504,18.886868815674593,278.3789792935861,0.1457200739733055,-0.9893258614032155,0,0,1,-3.4808795166015187,-9.819937133789061,0,1,0
2025-02-19,30.0,27.97948730468754,11.419747396575676,285.4459509270653,0.2663292316679905,-0.9638821195349242,0,0,1,10.617683105468792,9.506140136718752,1,0,0
2025-02-20,29.0,26.956000976562542,9.558005618119145,323.2334850760594,0.8010813184461979,-0.5985555289499056,0,1,0,9.84907958984379,0.6398986816406236,0,0,1
2025-02-21,35.0,30.05271728515629,19.0238438384527,295.31796798680966,0.4276413631347699,-0.9039484855544788,0,1,0,8.980830078125042,-2.6200744628906243,0,0,1
2025-02-22,40.0,34.02663696289066,8.066679795650623,242.97394845512792,-0.4543955803061708,-0.8908000093164673,1,0,0,18.133155517578167,7.571557617187501,1,0,0
2025-02-23,46.0,41.182526855468794,10.186754918321117,250.8466149081347,-0.3280982088289315,-0.9446436181773774,0,0,1,21.57357910156254,3.0796874999999986,0,0,1
2025-02-24,49.0,46.71491210937504,8.41279039037564,187.20494011295304,-0.9921038912403841,-0.12541877445457683,1,0,0,26.859870605468792,3.532379150390625,0,0,1
2025-02-25,57.0,52.32519042968754,5.302204865606536,199.25287966078358,-0.9440724490929647,-0.32973809434703116,1,0,0,39.15340698242191,13.331634521484371,1,0,0
2025-02-26,56.0,52.74607666015629,11.00972581232899,297.9017649550942,0.46795703780031167,-0.8837512154295222,0,1,0,29.56327636718754,-10.993304443359378,0,1,0
2025-02-27,54.0,54.37897460937504,8.613154085492535,203.94549761634397,-0.9139319508878577,-0.4058674526816783,1,0,0,40.07922485351567,9.474664306640626,1,0,0
2025-02-28,51.0,49.316639404296915,12.34754636223578,261.625610918261,-0.1456408143469063,-0.9893375324915,0,0,1,23.11375244140629,-18.215991210937503,0,1,0
2025-03-01,64.0,55.27864501953129,24.19258067252398,245.92414222704707,-0.4079457911022556,-0.9130061508675366,1,0,0,30.63631103515629,7.811499023437499,1,0,0
2025-03-02,33.0,27.220771484375042,14.513320136264088,297.6789405071205,0.4645165812738703,-0.8855644221182533,0,1,0,3.02426269531254,-35.00557250976563,0,1,0
2025-03-03,39.0,34.53261230468754,10.039347143464482,289.0307586802336,0.32607569994131613,-0.9453436612723337,0,0,1,5.75052001953129,2.3490417480468757,0,0,1
2025-03-04,52.0,48.723377685546915,11.356609637684869,184.25587935224522,-0.9972425752764977,-0.07421082168995878,1,0,0,31.62321289062504,24.5340087890625,1,0,0
2025-03-05,54.0,57.72453125000004,21.85395516614455,163.78245066231742,-0.9602081874080365,0.279285224876958,1,0,0,41.28788574218754,6.714184570312497,1,0,0
2025-03-06,55.0,50.272999267578165,13.709557117967165,255.35175084097006,-0.25288418313305355,-0.9674965580926519,0,0,1,33.717316894531294,-10.056610107421875,0,1,0
2025-03-07,50.0,39.913770751953166,19.849416399014434,272.75622178457695,0.04808659381003844,-0.9988431706207679,0,0,1,16.204780273437542,-18.0019775390625,0,1,0
2025-03-08,45.0,36.88544433593754,19.006847075580755,295.2382854794006,0.4263838088421459,-0.904542341495004,0,1,0,13.203974609375042,-4.99658203125,0,0,1
2025-03-09,53.0,41.87878540039067,16.170795564130994,242.13511498094138,-0.4673880911749558,-0.8840522451913299,1,0,0,19.92288330078129,4.203698730468748,0,0,1
2025-03-10,66.0,59.921192626953165,10.270836572009067,283.84636334862876,0.2393192145424593,-0.9709409423599256,0,0,1,35.50655029296879,11.678082275390622,1,0,0
2025-03-11,65.0,60.78740966796879,10.468548130628179,182.509204217983,-0.9990412015020471,-0.04377987781328379,1,0,0,41.83225830078129,4.784216308593749,0,0,1
2025-03-12,55.0,52.15369384765629,9.627304783351768,46.10772063407064,0.6933047273691424,0.7206445413708475,0,1,0,36.052625732421916,-6.425958251953126,0,1,0
2025-03-13,50.0,44.53341186523441,9.21850478382551,62.72991417334135,0.458185544210025,0.8888565728378022,0,1,0,38.80431640625004,0.6746704101562457,0,0,1
2025-03-14,57.0,51.16327636718754,5.908868273728243,40.95986432664098,0.7551689641359166,0.6555301942747463,0,1,0,44.15674560546879,7.3564453125,1,0,0
2025-03-15,49.0,46.37400634765629,4.803647721952257,112.97705114316197,-0.3903624044842599,0.9206612803660568,1,0,0,49.81020019531254,3.933380126953125,0,0,1
2025-03-16,61.0,64.88047607421879,18.410035319924603,155.47366715522932,-0.9097705839032563,0.41511141235134463,1,0,0,49.002045898437544,-0.7255920410156236,0,0,1
2025-03-17,59.0,55.787916259765666,11.243314119251277,314.7849214762582,0.7044474479152513,-0.709756150466968,0,1,0,41.52013671875004,-8.736767578125004,0,1,0
2025-03-18,61.0,48.942719726562544,6.2041338365416,336.2624010735567,0.915398627997482,-0.40254857080894924,0,1,0,40.85117919921879,0.6858764648437514,0,0,1
2025-03-19,63.0,54.73152587890629,4.04793982640198,200.3165023544095,-0.9377889711599793,-0.34720576834307854,1,0,0,48.522492675781294,8.187615966796876,1,0,0
2025-03-20,52.0,45.95273559570317,10.431774393965664,134.700140311707,-0.7033964434861265,0.7107977513266825,1,0,0,49.59354980468754,0.550689697265625,0,0,1
2025-03-21,51.0,44.58466308593754,21.297021287055436,305.56730466881527,0.5816588866266326,-0.8134328119815836,0,1,0,22.736317138671915,-27.874237060546875,0,1,0
2025-03-22,64.0,55.39740722656254,8.55095241703903,188.76791138140703,-0.9883139064898152,-0.15243235299253483,1,0,0,36.04499023437504,12.978479003906251,1,0,0
2025-03-23,48.0,42.149158935546915,10.397021054985643,301.4468774527642,0.521707803534505,-0.8531242393293033,0,1,0,22.907374267578167,-13.311859130859371,0,1,0
2025-03-24,50.0,54.279713134765665,12.319502678026018,186.65373880442328,-0.9932645269394282,-0.11586880306533667,1,0,0,39.99292724609379,16.684991455078126,1,0,0
2025-03-25,58.0,46.18767822265629,17.696620857637605,254.28280448611739,-0.27088935522782165,-0.9626104909174089,0,0,1,22.59322021484379,-18.851220703125,0,1,0
2025-03-26,53.0,44.01106689453129,13.185493169955665,272.2360929076933,0.03901727718665153,-0.999238536126855,0,0,1,18.53014648437504,-8.13548583984375,0,1,0
2025-03-27,53.0,45.473621826171915,13.284039979185716,273.99104544947147,0.06960056720887567,-0.9975749400642554,0,0,1,17.17025878906254,-5.1668701171875,0,1,0
2025-03-28,63.0,58.20650146484379,10.735638296034764,225.84257587580262,-0.6966321818823044,-0.7174284655391783,1,0,0,35.40009277343754,17.3006103515625,1,0,0
2025-03-29,81.0,74.81255615234379,17.79487722741568,250.44652137781452,-0.3346865545648115,-0.9423295125345144,0,0,1,50.63236206054692,16.22477416992188,1,0,0
2025-03-30,48.0,48.77287109375004,5.649813330684716,82.39064243172876,0.1324182741875707,0.9911939268685949,0,0,1,53.14905517578129,1.664703369140625,0,0,1
2025-03-31,73.0,66.20465820312504,10.978971743882214,192.91377046852622,-0.9747075101027123,-0.2234843836812115,1,0,0,50.41554687500004,-1.9888549804687514,0,0,1
2025-04-01,58.0,46.05902832031254,14.37571827199011,315.28217268445894,0.7105805814766745,-0.7036158307118106,0,1,0,28.897999267578165,-20.63908081054688,0,1,0
2025-04-02,49.0,45.04762695312504,12.829533105206956,129.43520430841048,-0.63520518489279,0.7723434294957888,1,0,0,28.701234130859415,0.03949584960937358,0,0,1
2025-04-03,73.0,68.59621704101566,12.707919096213004,207.74243687194195,-0.8850490915614325,-0.4654976965853677,1,0,0,54.509876708984415,23.037561035156248,1,0,0
2025-04-04,73.0,54.90543945312504,8.686273972928428,308.16542658365546,0.6179340810739489,-0.7862299100436808,0,1,0,46.70656250000004,-8.486279296875004,0,1,0
2025-04-05,59.0,44.59729736328129,12.329410631413273,104.08201523380247,-0.24331056337921075,0.9699484366439749,0,0,1,45.94191406250004,-1.4754638671875,0,0,1
2025-04-06,56.0,50.84467285156254,8.271281659144115,317.1713989406087,0.7333906077855262,-0.6798074848160887,0,1,0,46.48496826171879,2.6386962890625014,0,0,1
2025-04-07,50.0,41.49019897460941,9.342523249571554,48.80916396708656,0.6585691094015844,0.7525202509846521,0,1,0,34.47251708984379,-10.853723144531251,0,1,0
2025-04-08,45.0,39.59016845703129,20.549637521836186,277.0482272722503,0.12270475073607862,-0.9924432196084554,0,0,1,13.837775878906292,-21.853070068359372,0,1,0
2025-04-09,49.0,42.27006347656254,10.182780829446884,284.5592963561082,0.2513818219017902,-0.9678879995212962,0,0,1,12.82406738281254,-1.9367797851562507,0,0,1
2025-04-10,51.0,49.78322875976566,12.634276965133445,141.5880118870007,-0.7835634761534689,0.6213117404639094,1,0,0,26.20937011718754,11.039776611328122,1,0,0
2025-04-11,46.0,51.00496337890629,13.858282746904099,84.06408862850869,0.10341596810303831,0.994638194290422,0,0,1,30.61291015625004,5.02239990234375,1,0,0
2025-04-12,40.0,37.18009765625004,14.29649449812131,2.503161483916518,0.9990458132171868,0.04367451308497882,0,1,0,34.072340087890666,1.2136596679687486,0,0,1
2025-04-13,58.0,51.481275634765666,11.712974704135341,323.1874820050167,0.8006004770263702,-0.5991985281900721,0,1,0,30.024317626953167,-3.1898803710937464,0,0,1
2025-04-14,66.0,57.72161987304692,9.149676727005575,215.03824255493916,-0.8187690233842285,-0.574123058539227,1,0,0,39.781220703125044,10.831091308593752,1,0,0
2025-04-15,69.0,58.763013916015666,14.763742965585578,238.22038906916953,-0.526653322393587,-0.8500801597565941,1,0,0,37.79719970703129,-4.306970214843751,0,0,1
2025-04-16,50.0,45.65681884765629,18.713087153284928,270.56476207712535,0.009856798120643839,-0.9999514205854246,0,0,1,21.330451660156292,-21.905364990234375,0,1,0
2025-04-17,64.0,56.99064453125004,12.690976679423601,293.03131775720703,0.39123421618624954,-0.9202911431091418,0,1,0,28.42783935546879,4.682812500000001,0,0,1
