date,actual,persistence,climatology,moving_avg,ensemble_v9,ensemble_v10,ensemble_v11
2025-10-09,59.0,80.0,77.2,76.0,80.0,78.52000000000001,77.41280392505693
2025-10-10,62.0,72.0,77.16666666666667,76.42857142857143,77.64166666666667,78.62666666666667,77.10136773804997
2025-10-11,64.0,59.0,76.7,75.42857142857143,74.025,75.68,74.79855897799922
2025-10-12,63.0,62.0,76.33333333333333,74.14285714285714,71.18333333333332,72.89333333333332,73.60843584101585
2025-10-13,58.0,64.0,75.83333333333333,71.57142857142857,70.63333333333333,70.77333333333334,71.72790871758676
2025-10-14,61.0,63.0,75.33333333333333,68.57142857142857,72.40833333333333,68.53333333333333,69.97311979124567
2025-10-15,68.0,58.0,74.7,65.42857142857143,72.72500000000001,66.6,67.79043576459904
2025-10-16,61.0,61.0,74.03333333333333,62.714285714285715,72.95833333333333,66.57333333333334,66.31436073741342
2025-10-17,63.0,68.0,73.66666666666667,62.142857142857146,73.76666666666667,67.14666666666668,66.29685884846974
2025-10-18,65.0,61.0,73.23333333333333,62.42857142857143,73.70833333333333,66.61333333333334,65.92247051159237
2025-10-19,70.0,63.0,73.0,62.57142857142857,73.75,66.52000000000001,66.07594511578061
2025-10-20,68.0,65.0,72.4,62.714285714285715,72.55000000000001,67.12,66.17693002217828
2025-10-21,66.0,70.0,71.93333333333334,63.714285714285715,73.13333333333334,68.01333333333334,66.86554356969137
2025-10-22,62.0,68.0,71.76666666666667,65.14285714285714,73.09166666666667,67.94666666666667,67.51245659049579
2025-10-23,60.0,66.0,71.6,65.85714285714286,72.725,68.48,67.79835623968513
2025-10-24,59.0,62.0,71.23333333333333,65.0,71.40833333333333,68.21333333333334,66.81014811526876
2025-10-25,58.0,60.0,70.46666666666667,64.85714285714286,69.31666666666666,67.30666666666667,66.25245933007515
2025-10-26,59.0,59.0,69.76666666666667,64.28571428571429,67.69166666666666,65.70666666666666,65.6503325464558
2025-10-27,55.0,58.0,69.13333333333334,63.285714285714285,66.88333333333334,64.25333333333333,64.86000115943988
2025-10-28,54.0,59.0,68.36666666666666,61.714285714285715,66.76666666666667,63.10666666666666,63.757514754215435
2025-10-29,56.0,55.0,67.56666666666666,59.857142857142854,66.24166666666666,61.94666666666667,62.15321384101239
2025-10-30,63.0,54.0,66.6,58.142857142857146,65.475,60.839999999999996,60.56267820714494
2025-10-31,58.0,56.0,65.86666666666666,57.285714285714285,64.66666666666666,60.18666666666666,59.85434202523028
2025-11-01,58.0,63.0,65.26666666666667,57.714285714285715,65.24166666666666,60.54666666666667,60.54194691444022
2025-11-02,59.0,58.0,64.9,57.57142857142857,65.65,60.28,60.15818842921638
2025-11-03,59.0,58.0,64.63333333333334,57.57142857142857,65.73333333333333,60.53333333333334,60.034200289111695
2025-11-04,59.0,59.0,64.23333333333333,57.57142857142857,64.63333333333334,60.97333333333333,59.9837292363311
2025-11-05,66.0,59.0,63.46666666666667,58.142857142857146,63.74166666666667,61.02666666666667,60.038635628098255
2025-11-06,57.0,59.0,62.63333333333333,58.857142857142854,62.708333333333336,60.21333333333333,60.215960413191965
2025-11-07,61.0,66.0,62.166666666666664,60.285714285714285,62.71666666666667,60.986666666666665,61.628539251132125
2025-11-08,65.0,57.0,61.4,59.42857142857143,62.05,60.56,60.26933111762182
2025-11-09,63.0,61.0,61.03333333333333,59.857142857142854,61.80833333333333,60.65333333333333,60.5759579475624
2025-11-10,59.0,65.0,61.233333333333334,60.857142857142854,61.30833333333334,61.45333333333333,61.557826484229565
2025-11-11,41.0,63.0,61.266666666666666,61.42857142857143,62.09166666666667,61.946666666666665,61.86970447280598
2025-11-12,50.0,59.0,61.1,61.42857142857143,61.575,61.040000000000006,61.49823899362822
2025-11-13,51.0,41.0,60.36666666666667,58.857142857142854,57.99166666666667,58.82666666666667,58.05425851838031
2025-11-14,51.0,50.0,60.1,56.57142857142857,56.65,57.400000000000006,56.61936346033594
2025-11-15,50.0,51.0,59.766666666666666,55.714285714285715,55.36666666666667,55.58666666666666,56.36773924396832
2025-11-16,56.0,51.0,59.2,54.285714285714285,57.300000000000004,53.92,55.38661798691193
2025-11-17,44.0,50.0,58.833333333333336,52.142857142857146,58.05833333333334,52.693333333333335,53.955904828866764
2025-11-18,45.0,56.0,58.6,51.142857142857146,59.225,54.400000000000006,53.75314710906552
2025-11-19,47.0,44.0,57.9,49.0,58.425,53.4,51.420981386910924
2025-11-20,47.0,45.0,57.06666666666667,49.57142857142857,56.41666666666667,52.346666666666664,51.446380710728405
2025-11-21,52.0,47.0,56.36666666666667,49.142857142857146,54.36666666666667,51.586666666666666,51.03983958130465
2025-11-22,52.0,47.0,55.733333333333334,48.57142857142857,54.55833333333334,50.97333333333333,50.70707961938149
2025-11-23,49.0,52.0,55.4,48.714285714285715,55.375,50.36,50.94611425514045
2025-11-24,52.0,52.0,55.13333333333333,49.0,55.833333333333336,51.21333333333334,51.22370672432607
2025-11-25,58.0,49.0,54.8,48.0,56.375,51.56,50.37047656636928
2025-11-26,59.0,52.0,54.6,49.142857142857146,55.575,52.08,50.95168503380323
2025-11-27,49.0,58.0,54.56666666666667,51.0,55.61666666666667,53.38666666666667,52.40870232401244
2025-11-28,43.0,59.0,54.7,52.714285714285715,56.6,54.28,53.76253869219647
2025-11-29,42.0,49.0,54.53333333333333,53.0,55.75833333333333,53.85333333333333,53.24692349803179
2025-11-30,47.0,43.0,54.1,51.714285714285715,53.375,52.96,51.668729758223094
2025-12-01,43.0,42.0,53.4,50.285714285714285,50.449999999999996,51.480000000000004,50.315383322723676
