kelly_fraction,min_edge,k_factor,home_advantage,roi,sharpe,win_rate,bets_made
0.5,0.05,24,75,659.856447327062,4.059337600649549,61.53846153846154,65
0.5,0.05,24,100,679.0975622640256,4.170500164117131,67.6923076923077,65
0.5,0.05,24,125,174.31021328081852,1.7980922168007978,52.054794520547944,73
0.5,0.08,16,75,570.2428571106068,4.7915002878700435,67.64705882352942,34
0.5,0.08,16,100,-22.829144466223408,-2.8939790908141663,54.54545454545454,22
0.5,0.08,16,125,127.86947998042693,4.651776800402046,65.38461538461539,26
0.5,0.08,20,75,338.33580046023656,8.720319696445896,76.92307692307693,26
0.5,0.08,20,100,230.95226466735693,6.624899431182142,70.0,20
0.5,0.08,20,125,324.57701501969615,4.256049888725248,64.70588235294117,34
0.5,0.08,24,75,463.69960146658434,5.880890749291185,70.37037037037037,27
0.5,0.08,24,100,80.45865831101897,2.4926453955051793,64.1025641025641,39
0.5,0.08,24,125,46.351555133962805,1.4525462667904476,54.83870967741935,31
0.5,0.1,16,75,54.30748225252776,3.3010996325246666,52.17391304347826,23
0.5,0.1,16,100,287.5265546256482,7.145798811004613,66.66666666666666,12
0.5,0.1,16,125,23.698887777017628,2.0985662567182706,50.0,26
0.5,0.1,20,75,247.04742245696832,4.859591244284637,64.70588235294117,17
0.5,0.1,20,100,84.85140428488982,4.187428392018523,64.28571428571429,14
0.5,0.1,20,125,306.59075980198753,6.052524426330757,58.82352941176471,17
0.5,0.1,24,75,97.9945588726816,3.0301775804082576,56.00000000000001,25
0.5,0.1,24,100,105.50806327908427,3.0305839571294686,56.00000000000001,25
0.5,0.1,24,125,56.54006189564493,2.3738270482932604,63.63636363636363,22
0.75,0.03,16,75,9822.396046462276,4.299759488697809,63.87096774193548,155
0.75,0.03,16,100,1908.5279918077872,3.5021770176645597,67.88321167883211,137
0.75,0.03,16,125,800.0441652337198,2.4135937772104827,63.69426751592356,157
0.75,0.03,20,75,4141.6959451341145,4.262153975293513,67.58620689655173,145
0.75,0.03,20,100,269.94841105777357,1.036960545486617,62.23776223776224,143
0.75,0.03,20,125,733.6071003620461,2.92252415013898,61.64383561643836,146
0.75,0.03,24,75,491.66675634322826,2.562660193425779,59.3984962406015,133
0.75,0.03,24,100,2235.9789239250636,3.9584269521363424,67.54966887417218,151
0.75,0.03,24,125,1054.6868577991206,2.3413798629829183,68.21192052980133,151
0.75,0.05,16,75,251.03230775253715,3.2908565347157652,58.2089552238806,67
0.75,0.05,16,100,883.5750337726507,4.625361420786387,67.27272727272727,55
0.75,0.05,16,125,-39.01591450204838,-0.4318365390484406,55.55555555555556,63
