date,actual_temp,last_price,volume
2022-12-09,39.0,95,1888
2022-12-10,42.0,99,2819
2022-12-11,40.5,13,1871
2022-12-12,42.5,94,2986
2022-12-13,38.5,1,3152
2022-12-14,44.5,99,2541
2022-12-15,37.5,99,3709
2022-12-16,31.5,99,2700
2022-12-17,25.5,99,3283
2022-12-18,22.0,99,2247
2022-12-19,25.5,66,3206
2022-12-20,33.5,98,1451
2022-12-21,32.5,99,1720
2022-12-22,34.5,99,2113
2022-12-23,0.5,34,580
2022-12-24,13.0,99,3061
2022-12-25,13.5,95,1332
2022-12-26,22.5,97,1062
2022-12-27,25.5,97,2074
2022-12-28,45.5,98,6398
2022-12-29,57.0,99,3610
2022-12-30,56.5,99,2246
2022-12-31,39.5,9,2736
2023-01-01,45.5,99,1880
2023-01-02,44.5,99,2673
2023-01-03,55.0,99,3691
2023-01-04,45.5,99,3071
2023-01-05,34.5,91,701
2023-01-06,32.5,99,2320
2023-01-07,32.5,99,4260
2023-01-08,34.5,98,1676
2023-01-09,42.0,99,8192
2023-01-10,44.0,99,2068
2023-01-11,49.0,99,3166
2023-01-12,44.5,98,3288
2023-01-13,34.5,89,1142
2023-01-14,36.0,99,4112
2023-01-15,42.5,99,582
2023-01-16,51.0,81,1700
2023-01-17,49.5,99,2035
2023-01-18,38.5,95,1316
2023-01-19,41.5,93,2872
2023-01-20,34.5,99,3008
2023-01-21,31.5,89,3195
2023-01-22,33.5,99,1332
2023-01-23,32.5,99,2085
2023-01-24,37.0,99,1302
2023-01-25,34.5,99,3905
2023-01-26,31.5,99,3068
2023-01-27,36.5,99,1405
2023-01-28,30.5,85,1232
2023-01-29,31.5,99,3353
2023-01-30,19.5,99,2548
2023-01-31,13.5,99,921
2023-02-01,28.5,95,228
2023-02-02,34.0,99,2969
2023-02-03,11.5,99,966
2023-02-04,41.0,99,3244
2023-02-05,40.0,99,1005
2023-02-06,46.0,98,1992
2023-02-07,49.5,99,2512
2023-02-08,42.5,99,584
2023-02-09,46.5,99,1909
2023-02-10,39.0,99,1363
2023-02-11,46.0,99,2314
2023-02-12,52.5,99,1244
2023-02-13,52.5,99,707
2023-02-14,54.5,99,2169
2023-02-15,53.5,99,3518
2023-02-16,36.5,93,2588
2023-02-17,27.5,99,1374
2023-02-18,45.5,99,845
2023-02-19,53.0,99,2166
2023-02-20,45.5,99,2576
2023-02-21,40.5,99,2456
2023-02-22,35.5,93,513
2023-02-23,42.5,91,706
2023-02-24,27.5,21,1437
2023-02-25,37.5,89,1417
2023-02-26,50.0,99,1226
2023-02-27,57.0,99,1710
2023-02-28,48.0,99,2204
2023-03-01,56.5,99,2140
2023-03-02,38.5,77,1958
2023-03-03,39.0,99,1782
2023-03-04,47.0,98,853
2023-03-05,49.0,99,4144
2023-03-06,56.5,95,1974
2023-03-07,43.5,99,5586
2023-03-08,45.0,99,3681
2023-03-09,41.5,61,1145
2023-03-10,37.5,95,551
2023-03-11,38.5,99,923
2023-03-12,36.5,99,1367
2023-03-13,33.5,97,825
2023-03-14,37.5,99,1979
2023-03-15,50.5,99,970
2023-03-16,51.5,4,2649
2023-03-17,52.5,97,3122
2023-03-18,25.5,99,1653
2023-03-19,41.5,99,795
2023-03-20,51.5,73,740
2023-03-21,56.0,99,4555
2023-03-22,53.5,99,565
2023-03-23,49.5,97,1179
2023-03-24,45.5,85,475
2023-03-25,43.0,95,516
2023-03-26,47.0,98,1663
2023-03-27,45.0,99,1378
2023-03-28,51.5,99,1387
2023-03-29,42.5,75,572
2023-03-30,56.0,17,1686
2023-03-31,68.0,34,960
2023-04-01,50.5,97,3996
2023-04-02,55.5,97,1424
2023-04-03,60.5,99,1074
2023-04-04,71.0,99,2012
2023-04-05,72.5,99,719
2023-04-06,54.5,99,1040
2023-04-07,50.0,99,1740
2023-04-08,63.5,99,901
2023-04-09,68.5,99,862
2023-04-10,70.5,97,1489
2023-04-11,80.0,97,5186
2023-04-12,82.5,99,2261
2023-04-13,83.5,99,1086
2023-04-14,83.5,97,1450
2023-04-15,82.5,99,804
2023-04-16,63.5,98,4599
2023-04-17,39.5,99,1173
2023-04-18,59.0,99,9656
2023-04-19,72.5,99,1786
2023-04-20,79.0,99,4867
2023-04-21,62.5,99,2464
2023-04-22,46.5,99,815
2023-04-23,42.0,95,3830
2023-04-24,54.5,99,10240
2023-04-25,48.5,99,419
2023-04-26,50.5,90,528
2023-04-27,67.0,75,2003
2023-04-28,60.5,99,1402
2023-04-29,59.5,97,909
2023-04-30,49.5,97,1036
2023-05-01,49.0,97,1828
2023-05-02,55.0,99,870
2023-05-03,57.5,28,469
2023-05-04,70.0,99,1056
2023-05-05,78.0,99,1041
2023-05-06,79.0,92,1605
2023-05-07,85.5,99,1035
2023-05-08,68.5,97,572
2023-05-09,70.0,99,1491
2023-05-10,80.5,99,621
2023-05-11,82.5,65,382
2023-05-12,74.0,95,513
2023-05-13,67.5,49,216
2023-05-14,64.5,95,409
2023-05-15,68.5,91,3503
2023-05-16,80.5,97,383
2023-05-17,62.5,95,1071
2023-05-18,75.5,98,1145
2023-05-19,74.0,99,1936
2023-05-20,69.5,99,1463
2023-05-21,80.5,99,725
2023-05-22,81.0,99,638
2023-05-23,84.5,98,670
2023-05-24,68.0,99,1547
2023-05-25,62.5,97,3480
2023-05-26,69.5,82,764
2023-05-27,73.5,99,849
2023-05-28,78.0,99,932
2023-05-29,83.5,99,856
2023-05-30,88.5,95,1969
2023-05-31,90.0,99,1240
2023-06-01,90.5,99,265
2023-06-02,91.5,60,889
2023-06-03,88.5,99,588
2023-06-04,77.5,99,1138
2023-06-05,84.5,99,1294
2023-06-06,79.0,80,2625
2023-06-07,75.5,99,296
2023-06-08,73.5,99,773
2023-06-09,79.5,99,1720
2023-06-10,86.5,99,1321
2023-06-11,66.5,99,4301
2023-06-12,70.5,31,1471
2023-06-13,66.5,99,720
2023-06-14,73.5,99,1597
2023-06-15,82.0,99,886
2023-06-16,67.5,62,1062
2023-06-17,78.5,97,1216
2023-06-18,85.5,99,893
2023-06-19,85.5,50,124
2023-06-20,84.5,81,537
2023-06-21,87.5,99,699
2023-06-22,84.0,97,807
2023-06-23,84.5,90,1025
2023-06-24,92.5,67,252
2023-06-25,86.5,22,188
2023-06-26,76.0,97,625
2023-06-27,75.5,41,1026
2023-06-28,84.5,47,708
2023-06-29,86.5,75,1025
2023-06-30,90.5,69,801
2023-07-01,85.5,53,171
2023-07-02,74.5,83,32
2023-07-03,85.5,99,525
2023-07-04,92.5,97,370
2023-07-05,91.5,98,259
2023-07-06,80.0,97,978
2023-07-07,81.0,95,1112
2023-07-08,75.5,6,834
2023-07-09,85.0,98,863
2023-07-10,85.5,90,426
2023-07-11,87.5,51,335
2023-07-12,80.0,98,4828
2023-07-13,78.5,49,852
2023-07-14,89.5,54,516
2023-07-15,83.5,97,286
2023-07-16,81.5,99,305
2023-07-17,79.5,33,716
2023-07-18,77.5,99,1549
2023-07-19,85.5,97,390
2023-07-20,88.5,15,2477
2023-07-21,81.5,12,55
2023-07-22,85.5,56,479
2023-07-23,84.5,49,322
2023-07-24,86.5,43,391
2023-07-25,90.5,99,3426
2023-07-26,90.5,21,646
2023-07-27,90.5,31,540
2023-07-28,92.5,98,1137
2023-07-29,82.5,98,1254
2023-07-30,80.5,97,837
2023-07-31,81.5,50,598
2023-08-01,84.5,96,1093
2023-08-02,84.5,99,158
2023-08-03,89.0,99,5382
2023-08-04,84.5,64,554
2023-08-05,79.0,97,4062
2023-08-06,73.0,99,2726
2023-08-07,77.0,87,1831
2023-08-08,84.5,56,109
2023-08-09,79.5,21,39
2023-08-10,85.5,97,4359
2023-08-11,85.5,89,791
2023-08-12,87.5,97,677
2023-08-13,81.5,65,45
2023-08-14,75.5,99,201
2023-08-15,77.5,92,913
2023-08-16,81.5,96,261
2023-08-17,81.5,99,1157
2023-08-18,78.5,96,200
2023-08-19,83.5,96,659
2023-08-20,90.5,98,248
2023-08-21,83.5,96,458
2023-08-22,88.5,75,894
2023-08-23,98.5,55,389
2023-08-24,99.5,97,769
2023-08-25,82.5,49,311
2023-08-26,75.5,35,170
2023-08-27,75.5,57,359
2023-08-28,78.5,50,36
2023-08-29,85.5,50,869
2023-08-30,71.5,99,562
2023-08-31,75.5,44,179
